Organism,Accession,Uniprot_ID,1_1 ,1_2 ,1_3 ,2_1 ,2_2 ,2_3 ,3_1 ,3_2 ,3_3 ,4_1 ,4_2 ,4_3 ,5_1 ,5_2 ,5_3 ,6_1 ,6_2 ,6_3 ,7_1 ,7_2 ,7_3 ,8_1 ,8_2 ,8_3 ,,
sp,Q00955,ACAC_YEAST,3187994.091,3038115.748,2415361.47,2436138.971,2621266.605,2054753.148,3148525.352,3765730.899,3415714.029,5457199.099,6234913.355,7263503.36,7127752.728,5014030.172,5910993.792,6224869.411,6082025.544,4484000.157,7259913.823,5572311.785,8922948.82,3779404.795,4232878.406,4490137.005,,Sample Identifier
sp,P19097,FAS2_YEAST,3575714.284,2616856.771,1703999.05,2548627.401,1943319.71,1891859.794,2391663.096,3904433.982,2661994.072,2669531.746,3169936.38,6557243.782,4541673.502,2601010.793,2971285.238,2751220.373,3128135.016,2105730.56,2181704.354,3322902.166,2297794.535,3092937.611,3980435.022,3178185.884,,#_#=sample_replicate
sp,P07149,FAS1_YEAST,3231988.573,3260761.749,2480488.245,2391492.749,2537285.356,2245385.224,2815380.401,3520488.424,3478751.061,2914833.911,3421317.871,6940194.365,2935868.016,2285351.791,2340902.467,2419603.745,4496490.057,1860260.494,2162717.021,2501101.532,2687029.852,3139878.725,3287736.222,2804338.918,,
sp,P00359,G3P3_YEAST,4910080.956,9276335.477,9074777.193,5756238.644,6461226.209,5247677.158,10412025.83,10323785.59,11117120.64,10325911.9,11256366.98,11015239.02,7719492.018,6391318.211,6246916.88,7561652.732,7626212.643,5085538.046,8059927.813,7952372.085,17255547.56,10001300.59,10049806.15,8080483.591,,Sample 1= WT YPD (2% Glucose)
sp,P32324,EF2_YEAST,30154570.73,27992237.8,21328347,17205268.96,20019676.2,15718224.77,28622394,32514107.27,32746883.87,12530270.9,13462409.82,28791260.18,10707965.53,7440438.339,7577475.856,7895860.196,17461711.92,5898953.533,9411466.916,10976553.19,10643586.61,13188687.77,12755864.76,11049717.61,,2=maf-DYPD (2%glucose)
sp,P10591,HSP71_YEAST,1485622.218,1308593.024,1173137.366,756329.8805,702638.3805,624780.5293,1129568.059,1730065.456,1324223.508,2976066.782,3800723.155,6491810.144,2045539.443,1435521.555,1546925.99,1230987.36,1510845.08,1084700.981,1204241.315,1934905.22,1405991.844,2741532.826,3126559.573,2893340.413,,3=rpc128-1007 YPD (2% glucose)
sp,P00549,KPYK1_YEAST,26078965.8,27357360.99,20469294.93,21699425.95,22211972.84,18241949.55,32625106.35,38207499.24,35604777.46,22361945.22,26023553.32,51083744.96,19907322.79,13756114,15567974.19,18353056.62,46444799.77,15116336.76,20229052.05,23619426.82,22625236.02,15802082.35,14570349.44,14304241.05,,4=WT YPGly 30oC (2% glycerol)
sp,P07259,PYR1_YEAST,4283093.927,3457525.637,2399913.314,2826658.76,3173092.83,2652052.559,3867620.26,4681964.728,4372164.887,2265517.088,2572798.924,3382126.154,3171390.881,2198310.999,2741207.422,4455386.75,4563774.754,3185923.446,3633680.962,3824297.727,3935456.648,2174405.363,1805359.276,1815856.371,,5=WT YPGly 2h 37oC (2% glycerol)
sp,P00925,ENO2_YEAST,4717570.22,5482084.553,4668678.974,2002202.263,3289290.194,3432798.118,5169895.242,6363849.721,5951587.396,2443145.783,2499845.601,7047478.99,1573302.336,1366481.496,1038038.505,1620703.826,3615136.371,970742.0408,1912271.634,2092059.099,2436696.432,2346758.768,2443455.041,2280566.371,,6=maf1-D YPG 30oC (2% glycerol)
sp,P16521,EF3A_YEAST,17957923.77,17443902.57,14246317.01,11556549.67,14233400.62,10581147.21,23352219.54,23460414.52,25447056.24,4123878.631,3375386.834,3794887.741,2929306.053,2385520.761,2308672.575,2662434.971,2502555.671,1711214.738,2370237.538,2257995.42,2656192.617,5044642.259,4836913.534,4374398.756,,7=maf1-D YPG;ly 2h 37oC (2% glycerol)
