"Gene_Symbol","Condition","Mean_Intensity","SD_Intensity","N_Replicates","CV_percent"
"AAC1","WT_YPD_Glucose",291600.107966667,47088.7877364945,3,16.1484123119314
"AAC1","WT_YPGly_30C",952493.604333333,265908.945965136,3,27.9171371603329
"AAC1","WT_YPGly_37C",793000.221933333,103342.77229668,3,13.0318718000772
"AAC1","maf1D_YPD_Glucose",228068.522066667,42167.5218324743,3,18.4889705297202
"AAC1","maf1D_YPGly_30C",944380.916933333,307987.077018223,3,32.6125900572348
"AAC1","maf1D_YPGly_37C",1393654.68833333,80000.3024625733,3,5.74032456764777
"AAC1","rpc128_YPD_Glucose",196600.803866667,16256.2051459163,3,8.2686361531569
"AAC1","rpc128_YPGly_30C",1133141.54,128894.403128676,3,11.3749605480596
"AAH1","WT_YPD_Glucose",1104005.11566667,99375.9064570426,3,9.00139909198095
"AAH1","WT_YPGly_30C",242537.036666667,99634.548456898,3,41.0801376260863
"AAH1","WT_YPGly_37C",140641.404743333,80297.5204401405,3,57.0937986481871
"AAH1","maf1D_YPD_Glucose",762946.7239,24249.7313861193,3,3.178430501957
"AAH1","maf1D_YPGly_30C",114286.616633333,24206.7653681883,3,21.1807524636512
"AAH1","maf1D_YPGly_37C",80417.6312933333,22731.4638247943,3,28.2667662043893
"AAH1","rpc128_YPD_Glucose",1183899.88,151834.089215865,3,12.8249095874446
"AAH1","rpc128_YPGly_30C",186228.296833333,44900.8316059958,3,24.1106385922544
"AAP1","WT_YPD_Glucose",592571.792,116330.094679667,3,19.631392558704
"AAP1","WT_YPGly_30C",475114.3845,28557.358182158,3,6.01062799060718
"AAP1","WT_YPGly_37C",258293.1544,12593.9270979078,3,4.87582689799223
"AAP1","maf1D_YPD_Glucose",646685.174933333,42913.5707148157,3,6.63592925556701
"AAP1","maf1D_YPGly_30C",234730.309333333,29169.3144816906,3,12.4267354158632
"AAP1","maf1D_YPGly_37C",388474.593866667,41631.6718973801,3,10.7167038860897
"AAP1","rpc128_YPD_Glucose",840090.844366667,89138.4848418485,3,10.6105768726772
"AAP1","rpc128_YPGly_30C",620482.821833333,59971.5681914097,3,9.66530677097755
"AAT2","WT_YPD_Glucose",1038602.0796,166422.463007564,3,16.023698226337
"AAT2","WT_YPGly_30C",1488131.96433333,212220.44429048,3,14.2608618977923
"AAT2","WT_YPGly_37C",878944.322133333,158746.269016399,3,18.0610153588679
"AAT2","maf1D_YPD_Glucose",1000964.9744,71669.3105275857,3,7.16002181500364
"AAT2","maf1D_YPGly_30C",1046059.5869,119604.076687692,3,11.433772816149
"AAT2","maf1D_YPGly_37C",1053084.00423333,170998.54665873,3,16.2378828252378
"AAT2","rpc128_YPD_Glucose",1410094.28266667,211479.665665749,3,14.9975550050323
"AAT2","rpc128_YPGly_30C",1138759.06566667,114926.66061559,3,10.0922718492966
"ABD1","WT_YPD_Glucose",67867.0291166667,4645.22096546999,3,6.84459158730027
"ABD1","WT_YPGly_30C",79933.00118,11998.7810573369,3,15.0110478528349
"ABD1","WT_YPGly_37C",64601.2540066667,7008.870971454,3,10.8494348588507
"ABD1","maf1D_YPD_Glucose",38402.8349866667,16011.779426828,3,41.6942640625028
"ABD1","maf1D_YPGly_30C",49237.1952166667,38809.2328197707,3,78.820965834857
"ABD1","maf1D_YPGly_37C",149439.647,10228.4717041728,3,6.84455023115306
"ABD1","rpc128_YPD_Glucose",87030.49511,2544.5864615899,3,2.92378718330136
"ABD1","rpc128_YPGly_30C",46566.8753366667,30568.7152831537,3,65.6447637127243
"ABF2","WT_YPD_Glucose",94284.5127166667,46919.5401957188,3,49.7637828778054
"ABF2","WT_YPGly_30C",434661.1801,361268.258734897,3,83.1149123213124
"ABF2","WT_YPGly_37C",241022.283733333,95368.2405870421,3,39.5682254395023
"ABF2","maf1D_YPD_Glucose",101226.348156667,59682.1689219319,3,58.9591247819812
"ABF2","maf1D_YPGly_30C",336725.2109,71067.346200694,3,21.1054426280542
"ABF2","maf1D_YPGly_37C",408264.352266667,127575.32898544,3,31.2482165727053
"ABF2","rpc128_YPD_Glucose",94798.79182,77229.7667616332,3,81.4670369515614
"ABF2","rpc128_YPGly_30C",336100.1752,60755.1061087426,3,18.0764874854914
"ABP1","WT_YPD_Glucose",278642.892833333,23599.9395855213,3,8.46960040701176
"ABP1","WT_YPGly_30C",537209.7865,83512.9789376226,3,15.5456920250321
"ABP1","WT_YPGly_37C",362410.900066667,352947.615744619,3,97.3887969925003
"ABP1","maf1D_YPD_Glucose",150754.208566667,5548.39305697829,3,3.68042332597612
"ABP1","maf1D_YPGly_30C",119858.155966667,39038.0229742316,3,32.5701848650903
"ABP1","maf1D_YPGly_37C",221668.0373,33255.5068580938,3,15.0023915324728
"ABP1","rpc128_YPD_Glucose",274519.429333333,5731.33828987345,3,2.08777145712124
"ABP1","rpc128_YPGly_30C",295634.758933333,22521.9716684579,3,7.61817444935043
"ABP140","WT_YPD_Glucose",321175.1273,74444.44006998,3,23.1787687595259
"ABP140","WT_YPGly_30C",256786.4567,130268.371451766,3,50.7302344235221
"ABP140","WT_YPGly_37C",181839.974133333,30464.7169984007,3,16.753586302241
"ABP140","maf1D_YPD_Glucose",254358.420666667,31992.662497558,3,12.5777878372205
"ABP140","maf1D_YPGly_30C",286931.414966667,137957.543566864,3,48.0803203730377
"ABP140","maf1D_YPGly_37C",234481.0833,27675.6417771504,3,11.8029315574859
"ABP140","rpc128_YPD_Glucose",381342.391933333,29359.7111911498,3,7.69904207143131
"ABP140","rpc128_YPGly_30C",234087.897833333,18383.4460379648,3,7.85322360024503
"ACB1","WT_YPD_Glucose",920056.832666667,72075.5420965739,3,7.83381412294632
"ACB1","WT_YPGly_30C",1574267.33133333,108378.934444627,3,6.88440471878652
"ACB1","WT_YPGly_37C",533902.807233333,63570.5805047382,3,11.9067702292406
"ACB1","maf1D_YPD_Glucose",306887.360933333,109975.799703223,3,35.8358843351368
"ACB1","maf1D_YPGly_30C",472423.948266667,76444.7235790062,3,16.1813819683535
"ACB1","maf1D_YPGly_37C",619997.051033333,67370.8398510035,3,10.8663161766202
"ACB1","rpc128_YPD_Glucose",692656.6978,165561.33435433,3,23.9023653247246
"ACB1","rpc128_YPGly_30C",948818.410933333,27095.274152809,3,2.85568596062084
"ACC1","WT_YPD_Glucose",2880490.43633333,409725.024762758,3,14.2241411252283
